id,time,x,y,z,tilt_fc,tilt_tw,z_smo,y_smo,t1,tVal,bin,windowSize,run_id,smo_prob,bin_hmm,run_idle_id,numbers,recipe_step
41,46.648S,-0.01,0.96,-0.06,0.6,4.76,-0.06562252206242396,0.9515506842587923,1970-01-01T00:00:00Z,-20,-1,,1,6.778764810594242e-4,Idle,1,2200,Idle -1
42,46.651S,-0.01,0.96,-0.06,0.6,3.58,-0.06562363249089011,0.9515512437766681,1970-01-01T00:00:00Z,-20,-1,,1,6.777832474610351e-4,Idle,1,2200,Idle -1
43,46.654S,-0.01,0.96,-0.06,0,3.65,-0.06562474283006461,0.9515518100109923,1970-01-01T00:00:00Z,-20,-1,,1,6.776889013694158e-4,Idle,1,2200,Idle -1
44,46.657S,-0.01,0.96,-0.06,1.79,4.76,-0.0656258530826409,0.9515523829966757,1970-01-01T00:00:00Z,-20,-1,,1,6.775942700444909e-4,Idle,1,2200,Idle -1
45,46.66S,-0.01,0.96,-0.06,0.6,3.58,-0.0656269632513123,0.951552962768629,1970-01-01T00:00:00Z,-20,-1,,1,6.775014425638844e-4,Idle,1,2200,Idle -1
46,46.663S,-0.01,0.96,-0.08,0.6,4.76,-0.06562807333877216,0.9515535493617624,1970-01-01T00:00:00Z,-20,-1,,1,6.77416985345801e-4,Idle,1,2200,Idle -1
47,46.666S,-0.01,0.96,-0.06,0,3.65,-0.06562918334771387,0.9515541428109869,1970-01-01T00:00:00Z,-20,-1,,1,6.773620344436697e-4,Idle,1,2200,Idle -1
48,46.669S,0,0.96,-0.06,1.79,4.76,-0.0656302932808308,0.9515547431512128,1970-01-01T00:00:00Z,-20,-1,,1,6.774047686194293e-4,Idle,1,2200,Idle -1
49,46.672S,0,0.96,-0.06,0,3.08,-0.06563140314081627,0.9515553504173507,1970-01-01T00:00:00Z,-20,-1,,1,6.777651567725793e-4,Idle,1,2200,Idle -1
50,46.675S,0,0.96,-0.06,0,3.58,-0.06563251293036369,0.9515559646443116,1970-01-01T00:00:00Z,-20,-1,,1,6.791529446600924e-4,Idle,1,2200,Idle -1
51,46.679S,0,0.96,-0.06,0.6,3.58,-0.06563399254484512,0.9515567945018781,1970-01-01T00:00:00Z,-20,-1,,1,6.838583441337696e-4,Idle,1,2200,Idle -1
52,46.682S,0,0.96,-0.06,0,3.65,-0.06563510218051123,0.9515574251065219,1970-01-01T00:00:00Z,-20,-1,,1,6.993260295313009e-4,Idle,1,2200,Idle -1
53,46.684S,-0.01,0.96,-0.08,0,4.76,-0.06563584190331119,0.9515578494392357,1970-01-01T00:00:00Z,-20,-1,,1,7.494928826502949e-4,Idle,1,2200,Idle -1
54,46.687S,0,0.94,-0.08,0.61,4.86,-0.06563695143803998,0.9515584918585931,1970-01-01T00:00:00Z,-20,-1,,1,9.115853507130618e-4,Idle,1,2200,Idle -1
55,46.69S,-0.01,0.94,-0.08,0.6,4.76,-0.0656380609157975,0.9515591414133258,1970-01-01T00:00:00Z,-20,-1,,1,9.71844427292973e-4,Idle,1,2200,Idle -1
56,46.693S,-0.01,0.94,-0.06,0,3.65,-0.06563917033927716,0.9515597981383448,1970-01-01T00:00:00Z,-20,-1,,1,9.921053946525162e-4,Idle,1,2200,Idle -1
57,46.696S,0,0.94,-0.06,0.61,3.65,-0.06564027971117231,0.9515604620685609,1970-01-01T00:00:00Z,-20,-1,,1,9.930050003354206e-4,Idle,1,2200,Idle -1
58,46.699S,0,0.94,-0.06,0,3.69,-0.06564138903417628,0.9515611332388841,1970-01-01T00:00:00Z,-20,-1,,1,9.752437087382647e-4,Idle,1,2200,Idle -1
59,46.702S,0,0.94,-0.06,0,3.58,-0.06564249831098246,0.9515618116842254,1970-01-01T00:00:00Z,-20,-1,,1,9.203177878452115e-4,Idle,1,2200,Idle -1
60,46.705S,0,0.96,-0.06,0.6,3.58,-0.06564360754428421,0.9515624974394948,1970-01-01T00:00:00Z,-20,-1,,1,7.71495012029629e-4,Idle,1,2200,Idle -1
61,46.708S,0,0.96,-0.06,0,3.65,-0.06564471673677488,0.9515631905396036,1970-01-01T00:00:00Z,-20,-1,,1,7.664045745722123e-4,Idle,1,2200,Idle -1
62,46.71S,0,0.94,-0.06,0,4.76,-0.06564545617709258,0.9515636567040489,1970-01-01T00:00:00Z,-20,-1,,1,8.974049375028446e-4,Idle,1,2200,Idle -1
63,46.713S,0,0.94,-0.06,0,3.65,-0.06564656530755007,0.951564362123135,1970-01-01T00:00:00Z,-20,-1,,1,9.079548931904241e-4,Idle,1,2200,Idle -1
64,46.716S,0,0.96,-0.06,0,3.65,-0.06564767440437881,0.9515650749801557,1970-01-01T00:00:00Z,-20,-1,,1,8.086729173930065e-4,Idle,1,2200,Idle -1
65,46.72S,0,0.94,-0.06,0,3.58,-0.06564915315249426,0.9515660370866418,1970-01-01T00:00:00Z,-20,-1,,1,9.052940430311439e-4,Idle,1,2200,Idle -1
66,46.723S,0,0.94,-0.06,0.6,4.76,-0.06565026218133006,0.9515667674346051,1970-01-01T00:00:00Z,-20,-1,,1,8.885722688706305e-4,Idle,1,2200,Idle -1
67,46.726S,-0.01,0.96,-0.08,0,3.65,-0.06565137118551499,0.9515675053368708,1970-01-01T00:00:00Z,-20,-1,,1,7.410987095979205e-4,Idle,1,2200,Idle -1
68,46.729S,-0.01,0.96,-0.08,0.61,4.86,-0.06565248016774239,0.9515682508283496,1970-01-01T00:00:00Z,-20,-1,,1,6.953753281414687e-4,Idle,1,2200,Idle -1
69,46.732S,-0.01,0.96,-0.08,0.6,4.76,-0.06565358913070565,0.9515690039439525,1970-01-01T00:00:00Z,-20,-1,,1,6.811410038936831e-4,Idle,1,2200,Idle -1
70,46.735S,-0.01,0.96,-0.08,0.6,3.58,-0.06565469807709812,0.9515697647185897,1970-01-01T00:00:00Z,-20,-1,,1,6.76651982422436e-4,Idle,1,2200,Idle -1
71,46.738S,0,0.96,-0.06,0,5.36,-0.06565580700961315,0.951570533187172,1970-01-01T00:00:00Z,-20,-1,,1,6.751838269319527e-4,Idle,1,2200,Idle -1
72,46.74S,0,0.96,-0.06,0,3.65,-0.06565654629157688,0.9515710497912138,1970-01-01T00:00:00Z,-20,-1,,1,6.746699960972034e-4,Idle,1,2200,Idle -1
73,46.743S,0,0.96,-0.06,0,3.58,-0.06565765520694813,0.9515718311606166,1970-01-01T00:00:00Z,-20,-1,,1,6.744505197904931e-4,Idle,1,2200,Idle -1
74,46.746S,-0.01,0.96,-0.06,0.6,3.58,-0.06565876411562425,0.9515726203170594,1970-01-01T00:00:00Z,-20,-1,,1,6.743870914115119e-4,Idle,1,2200,Idle -1
75,46.749S,-0.01,0.96,-0.06,0.61,3.65,-0.0656598730202986,0.9515734172954525,1970-01-01T00:00:00Z,-20,-1,,1,6.745840294046487e-4,Idle,1,2200,Idle -1
76,46.752S,-0.01,0.96,-0.06,0.6,3.58,-0.06566098192366453,0.9515742221307065,1970-01-01T00:00:00Z,-20,-1,,1,6.755493780876257e-4,Idle,1,2200,Idle -1
