00	3.58
297742	-0.01	0.96	-0.06	0.60	3.58
297745	0.00	0.94	-0.05	0.00	3.04
297748	0.00	0.94	-0.06	0.00	3.65
297751	-0.01	0.97	-0.06	0.59	3.54
297754	-0.01	0.96	-0.06	0.60	3.58
297756	0.00	0.96	-0.06	0.00	3.58
297759	0.00	0.96	-0.08	0.00	4.76
297762	0.00	0.94	-0.06	0.00	3.65
297765	0.00	0.96	-0.08	0.00	4.76
297768	-0.01	0.97	-0.08	0.59	4.71
297772	0.00	0.96	-0.06	0.00	3.58
297775	0.00	0.96	-0.06	0.00	3.58
297778	0.00	0.96	-0.08	0.00	4.76
297781	0.00	0.96	-0.06	0.00	3.58
297784	0.00	0.96	-0.06	0.00	3.58
297786	0.00	0.97	-0.06	0.00	3.54
297789	0.00	0.96	-0.08	0.00	4.76
297792	0.00	0.96	-0.06	0.00	3.58
297795	0.02	0.94	-0.06	-1.22	3.65
297798	0.00	0.96	-0.08	0.00	4.76
297801	0.02	0.96	-0.06	-1.19	3.58
297804	0.00	0.96	-0.06	0.00	3.58
297807	0.00	0.96	-0.09	0.00	5.36
297810	-0.01	0.96	-0.06	0.60	3.58
297814	-0.01	0.96	-0.06	0.60	3.58
297817	0.00	0.96	-0.05	0.00	2.98
297820	0.00	0.96	-0.06	0.00	3.58
297823	0.00	0.96	-0.06	0.00	3.58
297826	-0.01	0.97	-0.06	0.59	3.54
297829	0.00	0.94	-0.06	0.00	3.65
297831	0.00	0.94	-0.06	0.00	3.65
297834	0.00	0.96	-0.06	0.00	3.58
297837	-0.01	0.96	-0.08	0.60	4.76
297840	0.00	0.94	-0.06	0.00	3.65
297843	0.00	0.96	-0.06	0.00	3.58
297846	-0.01	0.96	-0.06	0.60	3.58
297849	0.00	0.96	-0.06	0.00	3.58
297852	-0.01	0.97	-0.08	0.59	4.71
297856	-0.01	0.96	-0.06	0.60	3.58
297859	0.00	0.94	-0.05	0.00	3.04
297862	-0.01	0.96	-0.06	0.60	3.58
297865	0.00	0.96	-0.08	0.00	4.76
297868	-0.01	0.97	-0.08	0.59	4.71
297871	0.00	0.94	-0.06	0.00	3.65
297874	0.00	0.96	-0.08	0.00	4.76
297877	0.00	0.94	-0.06	0.00	3.65
297880	0.00	0.93	-0.05	0.00	3.08
297883	0.02	0.94	-0.08	-1.22	4.86
297885	0.00	0.96	-0.08	0.00	4.76
297888	-0.01	0.96	-0.06	0.60	3.58
297891	0.00	0.94	-0.05	0.00	3.04
297894	0.00	0.96	-0.08	0.00	4.76
297897	-0.01	0.96	-0.08	0.60	4.76
297901	0.00	0.94	-0.06	0.00	3.65
297904	0.00	0.97	-0.06	0.00	3.54
297907	0.00	0.94	-0.05	0.00	3.04
297910	0.02	0.96	-0.05	-1.19	2.98
297913	0.02	0.94	-0.06	-1.22	3.65
297916	-0.01	0.96	-0.05	0.60	2.98
297919	-0.03	0.96	-0.08	1.79	4.76
297922	-0.01	0.93	-0.06	0.62	3.69
297925	0.00	0.96	-0.06	0.00	3.58
297928	0.00	0.97	-0.05	0.00	2.95
297931	-0.01	0.97	-0.08	0.59	4.71
297934	-0.01	0.96	-0.06	0.60	3.58
297937	-0.03	0.96	-0.08	1.79	4.76
297940	-0.01	0.94	-0.05	0.61	3.04
297944	0.00	0.96	-0.08	0.00	4.76
297947	0.00	0.96	-0.06	0.00	3.58
297950	0.00	0.94	-0.06	0.00	3.65
297953	0.00	0.96	-0.08	0.00	4.76
297956	0.02	0.96	-0.08	-1.19	4.76
297959	0.02	0.96	-0.06	-1.19	3.58
297962	0.00	0.96	-0.06	0.00	3.58
297964	0.00	0.97	-0.06	0.00	3.54
297967	-0.01	0.96	-0.08	0.60	4.76
297971	-0.01	0.96	-0.06	0.60	3.58
297974	-0.01	0.96	-0.08	0.60	4.76
297976	0.00	0.96	-0.06	0.00	3.58
297979	0.00	0.96	-0.06	0.00	3.58
297982	0.00	0.96	-0.06	0.00	3.58
297986	-0.01	0.96	-0.06	0.60	3.58
297989	0.00	0.94	-0.08	0.00	4.86
297992	-0.01	0.96	-0.08	0.60	4.76
297995	0.00	0.96	-0.08	0.00	4.76
297998	0.00	0.96	-0.08	0.00	4.76
298001	-0.01	0.96	-0.08	0.60	4.76
298004	0.00	0.96	-0.08	0.00	4.76
298007	0.00	0.96	-0.06	0.00	3.58
298010	-0.01	0.97	-0.08	0.59	4.71
298013	0.00	0.94	-0.06	0.00	3.65
298016	0.00	0.96	-0.06	0.00	3.58
298019	-0.01	0.96	-0.08	0.60	4.76
298021	0.00	0.94	-0.06	0.00	3.65
298024	0.00	0.94	-0.06	0.00	3.65
298028	-0.01	0.94	-0.06	0.61	3.65
298031	0.00	0.96	-0.06	0.00	3.58
298034	0.02	0.96	-0.06	-1.19	3.58
298037	0.00	0.94	-0.06	0.00	3.65
298040	0.00	0.96	-0.08	0.00	4.76
