36	0.26	0.91	-0.08	-15.95	5.02
291840	0.28	0.91	-0.08	-17.10	5.02
291843	0.28	0.90	-0.05	-17.28	3.18
291846	0.28	0.90	-0.05	-17.28	3.18
291849	0.26	0.91	-0.06	-15.95	3.77
291852	0.29	0.90	-0.06	-17.86	3.81
291856	0.28	0.90	-0.06	-17.28	3.81
291859	0.28	0.93	-0.08	-16.76	4.92
291862	0.28	0.90	-0.05	-17.28	3.18
291865	0.26	0.91	-0.06	-15.95	3.77
291868	0.28	0.91	-0.06	-17.10	3.77
291871	0.26	0.91	-0.05	-15.95	3.14
291874	0.28	0.91	-0.08	-17.10	5.02
291877	0.26	0.90	-0.05	-16.11	3.18
291880	0.28	0.91	-0.08	-17.10	5.02
291884	0.28	0.90	-0.05	-17.28	3.18
291888	0.28	0.91	-0.05	-17.10	3.14
291891	0.28	0.90	-0.05	-17.28	3.18
291894	0.29	0.90	-0.06	-17.86	3.81
291897	0.28	0.90	-0.06	-17.28	3.81
291900	0.28	0.91	-0.08	-17.10	5.02
291903	0.29	0.90	-0.08	-17.86	5.08
291906	0.28	0.91	-0.06	-17.10	3.77
291909	0.28	0.91	-0.06	-17.10	3.77
291912	0.28	0.91	-0.06	-17.10	3.77
291915	0.29	0.90	-0.08	-17.86	5.08
291918	0.26	0.91	-0.05	-15.95	3.14
291922	0.28	0.90	-0.06	-17.28	3.81
291926	0.29	0.90	-0.08	-17.86	5.08
291929	0.29	0.90	-0.06	-17.86	3.81
291932	0.28	0.91	-0.05	-17.10	3.14
291935	0.26	0.90	-0.05	-16.11	3.18
291938	0.26	0.91	-0.06	-15.95	3.77
291941	0.28	0.90	-0.05	-17.28	3.18
291944	0.26	0.91	-0.05	-15.95	3.14
291947	0.28	0.90	-0.05	-17.28	3.18
291950	0.26	0.90	-0.06	-16.11	3.81
291954	0.28	0.90	-0.05	-17.28	3.18
291957	0.26	0.90	-0.08	-16.11	5.08
291960	0.29	0.90	-0.06	-17.86	3.81
291963	0.26	0.91	-0.05	-15.95	3.14
291966	0.28	0.90	-0.05	-17.28	3.18
291970	0.26	0.91	-0.06	-15.95	3.77
291973	0.28	0.90	-0.05	-17.28	3.18
291976	0.26	0.91	-0.06	-15.95	3.77
291979	0.26	0.90	-0.06	-16.11	3.81
291982	0.26	0.91	-0.08	-15.95	5.02
291986	0.26	0.91	-0.08	-15.95	5.02
291989	0.28	0.91	-0.08	-17.10	5.02
291992	0.29	0.90	-0.06	-17.86	3.81
291995	0.26	0.91	-0.05	-15.95	3.14
291998	0.26	0.91	-0.06	-15.95	3.77
292001	0.26	0.91	-0.06	-15.95	3.77
292004	0.29	0.91	-0.08	-17.68	5.02
292007	0.28	0.90	-0.05	-17.28	3.18
292011	0.26	0.90	-0.06	-16.11	3.81
292014	0.26	0.91	-0.06	-15.95	3.77
292018	0.26	0.90	-0.06	-16.11	3.81
292021	0.28	0.90	-0.06	-17.28	3.81
292024	0.29	0.90	-0.08	-17.86	5.08
292027	0.28	0.90	-0.06	-17.28	3.81
292030	0.26	0.90	-0.08	-16.11	5.08
292033	0.26	0.91	-0.06	-15.95	3.77
292036	0.29	0.91	-0.05	-17.68	3.14
292039	0.28	0.91	-0.06	-17.10	3.77
292042	0.28	0.90	-0.08	-17.28	5.08
292045	0.26	0.90	-0.06	-16.11	3.81
292049	0.28	0.91	-0.08	-17.10	5.02
292052	0.26	0.91	-0.06	-15.95	3.77
292056	0.26	0.91	-0.06	-15.95	3.77
292059	0.28	0.90	-0.05	-17.28	3.18
292062	0.26	0.91	-0.06	-15.95	3.77
292065	0.29	0.91	-0.05	-17.68	3.14
292068	0.28	0.90	-0.06	-17.28	3.81
292071	0.28	0.91	-0.06	-17.10	3.77
292074	0.28	0.90	-0.05	-17.28	3.18
292077	0.28	0.90	-0.06	-17.28	3.81
292081	0.28	0.90	-0.06	-17.28	3.81
292084	0.28	0.90	-0.06	-17.28	3.81
292087	0.26	0.91	-0.06	-15.95	3.77
292090	0.26	0.91	-0.08	-15.95	5.02
292093	0.28	0.90	-0.05	-17.28	3.18
292097	0.28	0.91	-0.08	-17.10	5.02
292100	0.26	0.93	-0.05	-15.62	3.08
292103	0.28	0.91	-0.08	-17.10	5.02
292106	0.26	0.90	-0.05	-16.11	3.18
292109	0.26	0.91	-0.06	-15.95	3.77
292113	0.26	0.93	-0.06	-15.62	3.69
292116	0.28	0.90	-0.06	-17.28	3.81
292119	0.28	0.90	-0.06	-17.28	3.81
292122	0.28	0.91	-0.08	-17.10	5.02
292125	0.26	0.90	-0.06	-16.11	3.81
292128	0.28	0.91	-0.06	-17.10	3.77
292131	0.28	0.90	-0.06	-17.28	3.81
292134	0.25	0.91	-0.06	-15.36	3.77
292137	0.26	0.90	-0.06	-16.11	3.81
292141	0.28	0.91	-0.06	-17.10	3.77
292145	0.28	0.93	-0.05	-16.76	3.08
292148	0.28	0.91	-0.06	-17.10	3.77
292151	0.28	0.90	-0.06	-17.28	3.81
292154	0.29	0.90	-0.08	-17.86	5.08
292157	0.28	0.91	-0.06	-17.10	3.77
292160	0.28	0.91	-0.08	-17.10	5.02
292163	0.29	0.90	-0.06	-17.86	3.81
292166	0.28	0.90	-0.06	-17.28	3.81
292169	0.26	0.91	-0.06	-15.95	3.77
292172	0.26	0.91	-0.06	-15.95	3.77
292176	0.26	0.91	-0.08	-15.95	5.02
292179	0.26	0.91	-0.06	-15.95	3.77
292183	0.26	0.90	-0.05	-16.11	3.18
292186	0.28	0.91	-0.06	-17.10	3.77
292189	0.29	0.91	-0.08	-17.68	5.02
292192	0.28	0.91	-0.06	-17.10	3.77
292195	0.29	0.90	-0.06	-17.86	3.81
292198	0.28	0.91	-0.08	-17.10	5.02
292201	0.28	0.90	-0.06	-17.28	3.81
292204	0.26	0.91	-0.06	-15.95	3.77
292208	0.26	0.91	-0.06	-15.95	3.77
292211	0.25	0.90	-0.06	-15.52	3.81
292214	0.26	0.91	-0.05	-15.95	3.14
292217	0.26	0.91	-0.06	-15.95	3.77
292220	0.29	0.90	-0.06	-17.86	3.81
292224	0.28	0.91	-0.08	-17.10	5.02
292227	0.28	0.90	-0.06	-17.28	3.81
292230	0.28	0.90	-0.06	-17.28	3.81
292233	0.29	0.90	-0.06	-17.86	3.81
292236	0.26	0.91	-0.08	-15.95	5.02
292240	0.28	0.90	-0.06	-17.28	3.81
292243	0.25	0.91	-0.06	-15.36	3.77
292246	0.26	0.91	-0.06	-15.95	3.77
292249	0.28	0.90	-0.05	-17.28	3.18
292252	0.26	0.91	-0.08	-15.95	5.02
292255	0.28	0.90	-0.05	-17.28	3.18
292258	0.28	0.91	-0.08	-17.10	5.02
292261	0.29	0.90	-0.06	-17.86	3.81
292264	0.28	0.90	-0.05	-17.28	3.18
292268	0.26	0.93	-0.08	-15.62	4.92
292272	0.28	0.90	-0.05	-17.28	3.18
292275	0.26	0.91	-0.06	-15.95	3.77
292278	0.26	0.91	-0.06	-15.95	3.77
292281	0.28	0.91	-0.06	-17.10	3.77
